id,name,county,state,countyFips,lat,lng,confidence,sourceDate,agencyType,address,city,subStation,jurisdictionId,jurisdictionName
agency-building-kenyon-police-709-2nd-street,Kenyon Police,Goodhue County,MN,27049,44.2717935001664,-92.9847151000933,confirmed,,Police,709 2ND STREET,KENYON,,,
agency-building-goodhue-county-sheriff-430-west-6th-street-law-enforcement-center,Goodhue County Sheriff,Goodhue County,MN,27049,44.562961556325,-92.5324221795885,confirmed,,Sheriff,"430 WEST 6TH STREET, LAW ENFORCEMENT CENTER",RED WING,,,
agency-building-red-wing-police-430-west-6th-street,Red Wing Police,Goodhue County,MN,27049,44.5630254999162,-92.5318928005949,confirmed,,Police,430 WEST 6TH STREET,RED WING,,,
agency-building-prairie-island-indian-community-tribal-police-1960-island-boulevard,Prairie Island Indian Community Tribal Police,Goodhue County,MN,27049,44.6289657006896,-92.6553790337966,confirmed,,Police,1960 Island Boulevard,WELCH,,,
agency-building-sheriff-405-north-broadway-street,Sheriff,Goodhue County,MN,27049,44.402988999524,-92.6236112007353,confirmed,,Sheriff,405 NORTH BROADWAY STREET,GOODHUE,,,
agency-building-robbinsdale-police-4101-hubbard-avenue-north,Robbinsdale Police,Hennepin County,MN,27053,45.0291507004801,-93.3387365002916,confirmed,,Police,4101 HUBBARD AVENUE NORTH,ROBBINSDALE,,agency-jurisdiction-robbinsdale-police,Robbinsdale Police
agency-building-saint-louis-park-police-3015-raleigh-avenue-south,Saint Louis Park Police,Hennepin County,MN,27053,44.947097300044,-93.3432536005444,confirmed,,Police,3015 RALEIGH AVENUE SOUTH,SAINT LOUIS PARK,,agency-jurisdiction-saint-louis-park-police,Saint Louis Park Police
agency-building-champlin-police-11955-champlin-drive,Champlin Police,Hennepin County,MN,27053,45.1720419002706,-93.3933107995155,confirmed,,Police,11955 CHAMPLIN DRIVE,CHAMPLIN,,agency-jurisdiction-champlin-police,Champlin Police
agency-building-corcoran-police-8200-county-road-116,Corcoran Police,Hennepin County,MN,27053,45.103182800494,-93.5420513002311,confirmed,,Police,8200 COUNTY ROAD 116,CORCORAN,,agency-jurisdiction-corcoran-police,Corcoran Police
agency-building-brooklyn-center-police-6645-humboldt-avenue-north,Brooklyn Center Police,Hennepin County,MN,27053,45.0769233996312,-93.3006002999753,confirmed,,Police,6645 HUMBOLDT AVENUE NORTH,BROOKLYN CENTER,,agency-jurisdiction-brooklyn-center-police,Brooklyn Center Police
agency-building-minneapolis-police-350-south-5th-street-room-130,Minneapolis Police,Hennepin County,MN,27053,44.9773166977596,-93.2658883778091,confirmed,,Police,"350 SOUTH 5TH STREET, ROOM 130",MINNEAPOLIS,,agency-jurisdiction-minneapolis-police,Minneapolis Police
agency-building-richfield-department-of-public-safety-6700-portland-avenue-south,Richfield Police,Hennepin County,MN,27053,44.8812356994811,-93.2684810001607,confirmed,,Police,6700 PORTLAND AVENUE SOUTH,RICHFIELD,,agency-jurisdiction-richfield-police,Richfield Police
agency-building-university-of-minnesota-department-of-public-safety-511-washington-avenue-southeast-transportation-and-safety-building-room-100,University of Minnesota Police,Hennepin County,MN,27053,44.9739229997603,-93.2309923001113,confirmed,,Police,"511 WASHINGTON AVENUE SOUTHEAST, TRANSPORTATION AND SAFETY BUILDING ROOM 100",MINNEAPOLIS,,agency-jurisdiction-university-of-minnesota-police,University of Minnesota Police
agency-building-three-rivers-park-district-police-3000-xenium-lane-north,Three Rivers Park District Police,Hennepin County,MN,27053,45.0137652318435,-93.4509422021951,confirmed,,Police,3000 XENIUM LANE NORTH,PLYMOUTH,,,
agency-building-bloomington-police-1800-west-old-shakopee-road,Bloomington Police,Hennepin County,MN,27053,44.8247923999186,-93.3020730995617,confirmed,,Police,1800 WEST OLD SHAKOPEE ROAD,BLOOMINGTON,,agency-jurisdiction-bloomington-police,Bloomington Police
agency-building-maple-grove-police-12800-arbor-lakes-parkway-n,Maple Grove Police,Hennepin County,MN,27053,45.0996962872986,-93.442653474018,confirmed,,Police,12800 ARBOR LAKES PARKWAY N,MAPLE GROVE,,agency-jurisdiction-maple-grove-police,Maple Grove Police
agency-building-brooklyn-park-police-5400-85th-avenue-north,Brooklyn Park Police,Hennepin County,MN,27053,45.1098844998366,-93.3497281998698,confirmed,,Police,5400 85TH AVENUE NORTH,BROOKLYN PARK,,agency-jurisdiction-brooklyn-park-police,Brooklyn Park Police
agency-building-wayzata-police-600-east-rice-street,Wayzata Police,Hennepin County,MN,27053,44.9710358002969,-93.512397099727,confirmed,,Police,600 EAST RICE STREET,WAYZATA,,agency-jurisdiction-wayzata-police,Wayzata Police
agency-building-minnetonka-police-14600-minnetonka-boulevard,Minnetonka Police,Hennepin County,MN,27053,44.9400027997703,-93.4659878998359,confirmed,,Police,14600 MINNETONKA BOULEVARD,MINNETONKA,,agency-jurisdiction-minnetonka-police,Minnetonka Police
