id,name,county,state,countyFips,lat,lng,confidence,sourceDate,operator,operatorType,manufacturer,cameraType,direction,zone,surveillance,osmId,osmUrl,crossSourceSiteId,crossSourceCount,crossSourceMeters,crossSourceThresholdM,crossSourceContested,crossSourceAnchorAmbiguous,crossSourceAgencyName
alpr-osm-12965226545,ALPR camera,Carver County,MN,27019,44.8580457,-93.5365365,probabilistic,,,Not recorded,Motorola Solutions,fixed,45,,,12965226545,https://www.openstreetmap.org/node/12965226545,,0,,50,false,false,
alpr-osm-12977994343,ALPR camera,Ramsey County,MN,27123,45.1046874,-93.2086962,probabilistic,,,Not recorded,Flock Safety,fixed,80,,,12977994343,https://www.openstreetmap.org/node/12977994343,cross-alpr-reported-mounds-view-police-department-mounds-view-boulevard-at-long-lake-road-westbound,1,49,50,false,false,Mounds View Police Department
alpr-osm-12996485494,ALPR camera,Anoka County,MN,27003,45.2075946,-93.3582153,probabilistic,,,Not recorded,Flock Safety,,247,traffic,public,12996485494,https://www.openstreetmap.org/node/12996485494,,0,,50,false,false,
alpr-osm-12996563969,ALPR camera,Ramsey County,MN,27123,45.0947218,-93.1931371,probabilistic,,,Not recorded,Flock Safety,,100,public,traffic,12996563969,https://www.openstreetmap.org/node/12996563969,,0,,50,false,false,
alpr-osm-13006584562,ALPR camera,Anoka County,MN,27003,45.1273741,-93.2562241,probabilistic,,,Not recorded,Flock Safety,fixed,160,public,,13006584562,https://www.openstreetmap.org/node/13006584562,,0,,50,false,false,
alpr-osm-13006584563,ALPR camera,Anoka County,MN,27003,45.3195355,-93.231437,probabilistic,,,Not recorded,Flock Safety,fixed,70,public,,13006584563,https://www.openstreetmap.org/node/13006584563,,0,,50,false,false,
alpr-osm-13006584564,ALPR camera — Elk River Police Department,Sherburne County,MN,27141,45.3217551,-93.5220645,probabilistic,,Elk River Police Department,Police department,Flock Safety,fixed,190,public,,13006584564,https://www.openstreetmap.org/node/13006584564,,0,,50,false,false,
alpr-osm-13006622915,ALPR camera,Ramsey County,MN,27123,45.1244198,-93.2150878,probabilistic,,,Not recorded,Flock Safety,fixed,70,public,,13006622915,https://www.openstreetmap.org/node/13006622915,,0,,50,false,false,
alpr-osm-13011048696,ALPR camera,Sherburne County,MN,27141,45.3033014,-93.5561585,probabilistic,,,Not recorded,Flock Safety,fixed,240,public,,13011048696,https://www.openstreetmap.org/node/13011048696,,0,,50,false,false,
alpr-osm-13011057750,ALPR camera,Anoka County,MN,27003,45.158138,-93.1635686,probabilistic,,,Not recorded,Flock Safety,fixed,160,public,,13011057750,https://www.openstreetmap.org/node/13011057750,,0,,50,false,false,
alpr-osm-13011077745,ALPR camera,Anoka County,MN,27003,45.1294868,-93.265581,probabilistic,,,Not recorded,Flock Safety,fixed,130,public,,13011077745,https://www.openstreetmap.org/node/13011077745,,0,,50,false,false,
alpr-osm-13013655663,ALPR camera,Sherburne County,MN,27141,45.2814977,-93.5483539,probabilistic,,,Not recorded,Flock Safety,fixed,90,,,13013655663,https://www.openstreetmap.org/node/13013655663,,0,,50,false,false,
alpr-osm-13014208042,ALPR camera,Anoka County,MN,27003,45.1960022,-93.3335317,probabilistic,,,Not recorded,Flock Safety,fixed,330,traffic,public,13014208042,https://www.openstreetmap.org/node/13014208042,,0,,50,false,false,
alpr-osm-13020075543,ALPR camera — Dakota County Sheriff's Office,Dakota County,MN,27037,44.5437144,-93.2039461,probabilistic,,Dakota County Sheriff's Office,County sheriff,Flock Safety,fixed,33-78,traffic,public,13020075543,https://www.openstreetmap.org/node/13020075543,,0,,50,false,false,
alpr-osm-13020082212,ALPR camera — Dakota County Sheriff's Office,Dakota County,MN,27037,44.48263,-93.143926,probabilistic,,Dakota County Sheriff's Office,County sheriff,Flock Safety,fixed,8-53,traffic,public,13020082212,https://www.openstreetmap.org/node/13020082212,,0,,50,false,false,
alpr-osm-13025806608,ALPR camera,Hennepin County,MN,27053,44.9344141,-93.3962587,probabilistic,,,Not recorded,Motorola Solutions,fixed,220,,,13025806608,https://www.openstreetmap.org/node/13025806608,,0,,50,false,false,
alpr-osm-13037690036,ALPR camera,Anoka County,MN,27003,45.3197019,-93.2396303,probabilistic,,,Not recorded,Flock Safety,fixed,270,traffic,public,13037690036,https://www.openstreetmap.org/node/13037690036,,0,,50,false,false,
alpr-osm-13046336807,ALPR camera,Scott County,MN,27139,44.778441,-93.4128726,probabilistic,,,Not recorded,Flock Safety,fixed,145,traffic,public,13046336807,https://www.openstreetmap.org/node/13046336807,,0,,50,false,false,
alpr-osm-13071136163,ALPR camera,Hennepin County,MN,27053,45.0872222,-93.5232479,probabilistic,,,Not recorded,Flock Safety,,250,,,13071136163,https://www.openstreetmap.org/node/13071136163,,0,,50,false,false,
alpr-osm-13071238159,ALPR camera,Becker County,MN,27005,46.99175,-95.9173397,probabilistic,,,Not recorded,Flock Safety,fixed,90,,,13071238159,https://www.openstreetmap.org/node/13071238159,,0,,50,false,false,
alpr-osm-13085261362,ALPR camera,Ramsey County,MN,27123,45.1005516,-93.2187783,probabilistic,,,Not recorded,,,45,traffic,traffic,13085261362,https://www.openstreetmap.org/node/13085261362,cross-alpr-reported-mounds-view-police-department-county-road-h2-at-silver-lake-road-eastbound,1,23,50,false,false,Mounds View Police Department
alpr-osm-13085261363,ALPR camera,Ramsey County,MN,27123,45.1077499,-93.2188462,probabilistic,,,Not recorded,,,50,traffic,traffic,13085261363,https://www.openstreetmap.org/node/13085261363,cross-alpr-reported-mounds-view-police-department-county-road-i-at-silver-lake-road-eastbound,1,30,50,false,false,Mounds View Police Department
alpr-osm-13088584126,ALPR camera — Elk River Police Department,Sherburne County,MN,27141,45.3030519,-93.5533223,probabilistic,,Elk River Police Department,Police department,Flock Safety,fixed,60,public,,13088584126,https://www.openstreetmap.org/node/13088584126,,0,,50,false,false,
alpr-osm-13101273865,ALPR camera,Ramsey County,MN,27123,44.9541846,-93.1551791,probabilistic,,,Not recorded,Unknown,fixed,,,,13101273865,https://www.openstreetmap.org/node/13101273865,,0,,50,false,false,
